element_id,title,description,category,category_definition
1.A.1,Adaptability/Flexibility,How often does your current job require being open to change (positive or negative) and to considerable variety in the workplace?,Work Context,"Work context describes the physical and social factors that influence the nature of work. For each work context element, a worker rates how often or to what extent the descriptor applies to the context of work."
1.A.2,Achievement/Effort,How often does your current job require establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks?,Work Context,"Work context describes the physical and social factors that influence the nature of work. For each work context element, a worker rates how often or to what extent the descriptor applies to the context of work."
1.A.3,Analytical Thinking,Analyzing information and using logic to address work-related issues and problems.,Skills,"Skills are developed capacities that facilitate learning or the more rapid acquisition of knowledge. Skills can be thought of as the ""how to"" for accomplishing job tasks."
1.A.4,Attention to Detail,How often does your current job require being careful about detail and thorough in completing work tasks?,Work Context,"Work context describes the physical and social factors that influence the nature of work. For each work context element, a worker rates how often or to what extent the descriptor applies to the context of work."
1.B.1,Active Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.,Skills,"Skills are developed capacities that facilitate learning or the more rapid acquisition of knowledge. Skills can be thought of as the ""how to"" for accomplishing job tasks."
1.B.2,Active Listening,Giving full attention to what other people are saying taking time to understand the points being made asking questions as appropriate and not interrupting at inappropriate times.,Skills,"Skills are developed capacities that facilitate learning or the more rapid acquisition of knowledge. Skills can be thought of as the ""how to"" for accomplishing job tasks."
1.C.1,Arm-Hand Steadiness,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.,Abilities,"Abilities are enduring attributes of the individual that influence performance. Abilities are categorized according to the different kinds of behaviours they influence."
1.C.2,Auditory Attention,The ability to focus on a single source of sound in the presence of other distracting sounds.,Abilities,"Abilities are enduring attributes of the individual that influence performance. Abilities are categorized according to the different kinds of behaviours they influence."
2.A.1,Administration and Management,Knowledge of business and management principles involved in strategic planning resource allocation human resources modeling leadership technique production methods and coordination of people and resources.,Knowledge,"Knowledge is organized sets of principles and facts applying in general domains. Knowledge describes what must be learned prior to performing on the job."
2.B.1,Assisting and Caring for Others,Providing personal assistance medical attention emotional support or other personal care to others such as coworkers customers or patients.,Work Activities,"Work activities are general types of job behaviours occurring on multiple jobs. For each work activity statement a worker indicates the level of the activity that is required to perform a job."
2.C.1,Consequence of Error,How serious would the result usually be if the worker made a mistake that was not readily correctable?,Work Context,"Work context describes the physical and social factors that influence the nature of work. For each work context element, a worker rates how often or to what extent the descriptor applies to the context of work."
3.A.1,Cooperation,How often does your current job require being pleasant with others on the job and displaying a good-natured cooperative attitude?,Work Context,"Work context describes the physical and social factors that influence the nature of work. For each work context element, a worker rates how often or to what extent the descriptor applies to the context of work."
